0.000 3411	1.000 1.031 1.064	1.003 1.038 1.073
0.050 6680	1.005 1.087 1.154	1.011 1.099 1.171
0.100 10190	1.007 1.142 1.260	1.013 1.162 1.294
0.150 20124	1.083 1.308 1.524	1.093 1.327 1.561
0.200 25238	1.130 1.409 1.646	1.140 1.433 1.695
0.250 30583	1.155 1.481 1.823	1.169 1.506 1.829
0.300 40556	1.187 1.586 1.894	1.205 1.647 1.978
0.350 50819	1.232 1.707 2.049	1.252 1.772 2.158
0.400 62225	1.273 1.842 2.210	1.297 1.910 2.440
0.450 73879	1.311 1.930 2.413	1.340 1.980 2.446
0.500 119633	1.347 2.081 2.668	1.373 2.119 2.798
0.550 219233	1.503 2.543 3.322	1.543 2.556 3.491
0.600 612873	1.712 3.164 4.390	1.836 3.321 4.663
0.650 1016078	1.826 3.245 4.436	1.915 3.716 5.458
0.700 1526413	1.875 3.599 4.775	1.959 4.018 6.443
0.750 2103842	1.809 3.715 5.112	1.974 4.252 6.771
0.800 3596446	1.822 3.950 5.792	2.001 4.437 6.584
0.850 5100985	1.861 3.813 5.518	2.022 4.470 7.298
0.900 8589866	1.843 3.904 5.303	2.060 4.340 6.781
0.950 29982659	1.870 3.629 4.731	2.129 4.283 5.725
